ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector
KVUE,Consumer Defensive,22.270588,2.3598287,3.4443233,1.54,1907500032.0,0.085,-3.6811428799999995
KDP,Consumer Defensive,31.979797,2.1445372,1.7211198,1.06,4607249920.0,-0.9,6.028066120000002
KEY,Financial Services,12.777778,3.1633105,1.3541151,1.65,,0.253,-6.400367288235296
KEYS,Technology,42.887535,8.189252,8.53679,1.14,1923374976.0,1.091,-8.98181494736842
KMB,Consumer Defensive,21.43787,2.1799552,20.655643,2.3,941124992.0,-0.323,-4.513860879999999
KIM,Real Estate,28.093023,7.409821,1.5774354,3.37,871483392.0,-0.058,-26.587400267857138
KMI,Energy,20.393549,3.9194398,2.2233946,3.49,1075000064.0,0.212,0.5532373809523818
KKR,Financial Services,34.191692,3.8261993,3.4052436,0.57,,0.4,15.013546711764707
KLAC,Technology,50.920547,17.882486,38.258545,1.79,2624587520.0,0.138,-0.9488029473684207
LHX,Industrials,27.344791,3.9172277,2.6312256,1.58,,-0.061,-8.458458573333338
LH,Healthcare,27.527708,1.8811605,3.1282663,1.38,892049984.0,0.282,-5.638765096153843
LRCX,Technology,53.818024,16.725256,31.155813,1.43,3090484480.0,0.348,1.9486740526315813
LVS,Consumer Cyclical,17.817831,2.1703348,51.248608,1.12,2212875008.0,-0.198,-25.75039859574468
LDOS,Technology,13.199813,1.0060583,3.3574786,2.46,1146625024.0,-0.067,-38.66953694736842
LEN,Consumer Cyclical,13.388714,0.62855834,0.95174426,11.3,1077926016.0,-0.315,-30.179515595744682
LII,Industrials,18.030638,2.6467056,10.817615,1.24,277737504.0,0.001,-17.77261157333334
LLY,Healthcare,41.716393,13.929191,32.745647,1.61,11065900032.0,0.262,8.549919903846153
LIN,Basic Materials,31.071014,6.2587137,5.6770625,2.05,4160750080.0,0.113,-29.159192199999996
LMT,Industrials,21.087822,1.7125757,14.990818,1.22,5562625024.0,4.438,-14.71542757333334
L,Financial Services,13.582823,1.2105567,1.1837293,1.32,1262000000.0,0.156,-5.595322288235296
LULU,Consumer Cyclical,9.367611,1.1725802,2.7432244,0.92,1133960960.0,-0.35,-34.200618595744686
MTB,Financial Services,12.619174,3.6405857,1.3534625,1.64,,0.255,-6.558971288235297
MPC,Energy,12.429911,0.6526271,5.3141966,1.79,9249375232.0,3.48,-7.410400619047618
MAR,Consumer Cyclical,36.95337,12.5916395,-20.631798,2.04,2060375040.0,0.043,-6.614859595744683
MRSH,Financial Services,23.224667,3.2479465,5.9872837,1.79,4785249792.0,0.073,4.046521711764704
MLM,Basic Materials,34.17502,4.7175217,2.7319396,2.65,593374976.0,-0.232,-26.055186199999994
MRVL,Technology,85.962326,25.844906,12.065468,1.34,2269700096.0,-0.804,34.092976052631585
MAS,Industrials,16.896313,1.8976057,-39.616425,1.95,897124992.0,0.245,-18.90693657333334
MA,Financial Services,31.547552,14.328828,89.72014,1.76,16961250304.0,0.221,12.369406711764704
MKC,Consumer Defensive,9.18802,2.010071,2.1222136,2.19,714025024.0,-0.142,-16.763710879999998
MCD,Consumer Cyclical,21.880487,6.874867,-186.12033,2.49,6262374912.0,0.057,-21.687742595744684
MCK,Healthcare,22.480568,0.23794211,-22.946762,1.61,6801249792.0,-0.176,-10.685905096153842
