ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector,undervalued_flag,score,price,sma50,sma200,above_sma50,above_sma200,rsi,macd_bullish,volume_today,avg_volume_30d,volume_spike,fundamentals_score,technicals_score,headline_count,sentiment_score,sentiment_norm,macro_adjustment
IEX,Industrials,33.720142,4.8380327,4.2996182,1.92,578887488.0,0.109,-1.0837822000000017,True,36.48482431572916,234.33999633789065,219.5125537109375,196.05841751098632,True,True,69.67051684675573,True,951013.0,767450.4333333333,False,5.6565846573808365,75,,,53.446806099538925,-3
CVX,Energy,33.443382,2.058345,2.0662282,0.78,11776499712.0,-0.445,-68.08729639523808,True,36.48202098711942,191.9900054931641,182.7514004516601,173.1053288269043,True,True,74.9760068681715,True,3592830.0,8758244.333333334,False,14.036429029079688,75,10.0,-0.1429127037525177,34.5781396201678,-3
TSN,Consumer Defensive,47.842518,0.38404924,1.1821932,1.04,1029000000.0,36.022,20.88677921428572,False,36.47519368546956,60.73500061035156,58.90565010070801,59.21817623138428,True,True,69.8023118056444,True,1077359.0,3114558.6333333333,False,10.508073504153856,75,10.0,-0.0830421864986419,42.48280304300164,-3
BEN,Financial Services,25.229008,1.9019468,1.4165094,0.37,-242137504.0,0.872,5.043513505797101,False,36.445468894781605,33.10049819946289,32.33339614868164,26.52154190063477,True,True,46.829603805674246,False,3220525.0,4613064.166666667,False,29.67562649091312,50,10.0,-0.0794491827487945,42.95718486935349,-3
YUM,Consumer Cyclical,25.322582,5.0992846,-5.949674,1.95,1261500032.0,0.722,-17.305857538461535,True,36.445130316073744,157.19000244140625,153.64416320800785,153.14728523254394,True,True,39.0630592937439,True,1809093.0,2683583.1,False,5.568375769257691,75,,,53.446806099538925,-3
DGX,Healthcare,24.905952,2.2376864,3.4300494,1.97,909625024.0,0.15,-7.565890524074071,True,36.41933929091693,234.6199951171875,205.53808837890625,192.3408353424072,True,True,77.78005127853226,True,515804.0,1058710.1333333333,False,5.511062380020316,75,,,53.446806099538925,-3
PKG,Consumer Cyclical,32.06031,2.3098872,4.770806,1.98,,-0.199,-10.568129538461534,True,36.40663916489274,247.58999633789065,229.08106384277343,215.1758173370361,True,True,68.13799610530442,True,250247.0,712158.2333333333,False,5.482839877744336,75,,,53.446806099538925,-3
PAYX,Technology,23.801636,10.432945,11.080541,2.04,,0.434,-84.67783554878048,True,36.333053140576105,116.41000366210938,102.67635116577148,101.11749683380128,True,True,64.91379632780293,True,2069119.0,3698750.633333333,False,5.319315379262925,75,,,53.446806099538925,-3
VRSK,Industrials,31.10154,8.44623,-22.681477,2.05,1014275008.0,-0.034,-3.702384200000005,True,36.3212075854422,201.78500366210932,184.8224203491211,198.59969116210937,True,True,62.39322943039472,True,1352007.0,2683166.9,False,5.29299192340982,75,,,53.446806099538925,-3
AMGN,Healthcare,26.926287,5.61459,22.73902,2.06,7436624896.0,0.044,-5.545555524074072,True,36.30947703569796,387.3200073242188,354.64460205078126,340.2109141540527,True,True,67.86621109770368,True,1226930.0,2582627.6666666665,False,5.266924035089269,75,,,53.446806099538925,-3
EMR,Industrials,34.58585,4.5583806,4.1122513,2.08,3272250112.0,0.279,-0.2180742000000037,True,36.28635431745209,149.0500030517578,141.5190002441406,138.76857856750487,True,True,64.42553556208426,True,1542468.0,2736682.2666666666,False,5.215540216765105,75,,,53.446806099538925,-3
VZ,Communication Services,12.050782,1.3911515,1.850186,0.88,18881875968.0,-0.22,-39.55153342500001,True,36.1291893647626,46.255001068115234,44.951468048095705,43.30039985656738,True,True,70.41976363570602,True,13022214.0,33150150.466666665,False,12.432631063204312,75,10.0,-0.1289431750774383,36.42252693160329,-3
ALLE,Industrials,20.47113,3.09313,6.2628984,2.26,484449984.0,0.162,-14.332794200000006,True,36.09666617750585,156.30999755859375,136.59887817382813,151.24018131256105,True,True,74.60000961304445,True,659505.0,1430630.1666666667,False,4.794011016884586,75,,,53.446806099538925,-3
MSI,Technology,34.57448,6.0061502,28.053505,2.28,1815124992.0,-0.138,-73.90499154878049,True,36.077438529792005,430.4150085449219,410.6613623046875,414.1700708007813,True,True,54.80272804336299,True,449409.0,1010900.3,False,4.751282910853813,75,,,53.446806099538925,-3
TRV,Financial Services,10.0650015,1.5957295,2.3600247,2.36,14775124992.0,0.571,-10.1204929942029,True,36.00378686227794,374.4100036621094,327.43544799804687,297.9982598876953,True,True,66.6291738949642,True,1540237.0,2271817.9,False,4.58761253860034,75,,,53.446806099538925,-3
ADP,Technology,24.083258,4.871301,16.606524,2.38,4749387264.0,0.105,-84.39621354878048,True,35.98614759736911,263.4649963378906,233.9740240478516,233.08483352661133,True,True,63.82241808053847,True,1515088.0,2779786.2666666666,False,4.548414172136272,75,,,53.446806099538925,-3
ICE,Financial Services,22.442503,8.355602,2.9603884,2.5,3743124992.0,0.797,2.257008505797099,False,35.8862388009255,154.60000610351562,140.0543603515625,153.88200004577638,True,True,82.80189005917693,True,4472835.0,4710114.5,False,4.326394624483796,75,,,53.446806099538925,-3
SHW,Basic Materials,31.691597,3.4132905,18.382519,2.53,2506037504.0,0.143,-8.78030435294118,True,35.86274246342196,343.3099975585937,322.34781677246093,331.42475296020507,True,True,54.6451388774813,True,824250.0,2550148.333333333,False,4.274180541142602,75,,,53.446806099538925,-3
DUK,Utilities,19.454685,3.017692,1.842289,2.56,-2246500096.0,0.12,-7.716068499999999,True,35.83979682132866,126.62999725341795,125.54280044555664,123.33626205444337,True,True,53.38432163584078,True,3050844.0,3834148.133333333,False,4.223190225379716,75,,,53.446806099538925,-3
ECL,Basic Materials,37.19839,4.637014,7.7464194,2.58,,0.033,-3.2735113529411777,True,35.82479618192399,277.6099853515625,267.4962106323242,269.5375260925293,True,True,52.99454560358369,True,549142.0,1403948.066666667,False,4.189855471147131,75,,,53.446806099538925,-3
TGT,Consumer Defensive,19.063408,0.6161512,3.9977283,2.61,3141250048.0,-0.247,-7.892330785714286,True,35.80272627567346,144.5399932861328,132.26139938354493,112.76312957763672,True,True,68.17476436219363,True,1491870.0,4228365.666666667,False,4.140811235034823,75,,,53.446806099538925,-3
AWK,Utilities,23.800694,5.1523294,2.4298024,2.68,-1896625024.0,-0.048,-3.3700595,True,35.7531513370062,137.30999755859375,129.01359970092773,130.21618576049804,True,True,66.33759113092728,True,2002170.0,2312842.333333333,False,4.030644704663146,75,,,53.446806099538925,-3
IRM,Real Estate,136.77174,5.167106,-30.81048,2.7,-499464512.0,8.6,80.70876056666665,False,35.73945921108858,125.87750244140624,125.04915603637696,105.75650074005128,True,True,58.62887503274697,True,1071087.0,1962556.2333333327,False,4.000217758179541,75,,,53.446806099538925,-3
AAPL,Technology,40.481213,10.865484,46.001377,2.71,101090746368.0,0.218,-67.99825854878048,True,35.73268893480459,333.92498779296875,309.3104998779297,277.3540057373047,True,True,64.93776909634593,True,35519636.0,60196951.2,False,3.985172699770673,75,,,53.446806099538925,-3
PM,Consumer Defensive,26.45467,7.0554314,-32.34632,2.73,9714374656.0,-0.075,-0.5010687857142848,True,35.719297179517575,192.58999633789065,182.885599975586,167.476957321167,True,True,60.21224793604437,True,4419921.0,5411990.7,False,3.955413243577308,75,,,53.446806099538925,-3
CBOE,Financial Services,25.631626,6.5493793,5.84171,2.73,1003075008.0,0.544,5.446131505797101,False,35.719297179517575,300.6400146484375,285.3520748901367,277.8880216217041,True,True,74.02273040351284,True,981552.0,1493451.7333333334,False,3.955413243577308,75,,,53.446806099538925,-3
VLTO,Industrials,23.926952,4.0656476,7.7637925,2.77,,0.101,-10.876972200000004,True,35.69309381718703,95.13999938964844,88.2986474609375,93.60520771026611,True,True,55.62212227838204,True,1055676.0,2326159.2,False,3.8971835495094247,75,,,53.446806099538925,-3
VRSN,Technology,31.183298,15.218049,-11.530379,2.79,832837504.0,0.077,-77.29617354878047,True,35.68027389260595,287.3399963378906,276.4952001953125,255.7942654418945,True,True,62.337103851907465,True,403119.0,875877.3,False,3.868694828218148,75,,,53.446806099538925,-3
